id gender height weight age
255 F 160 48 23
256 F 159 46 25
257 M 175 88 30
258 F 155 49 21
259 F 173 46 39
260 F 155 47 20
261 M 164 83 34
262 M 189 65 49
263 M 162 70 38
264 M 169 83 28
265 M 188 76 26
266 F 168 47 31
267 F 170 48 20
268 M 162 68 49
269 F 170 48 27
270 M 186 60 39
271 F 165 45 30
272 F 169 45 36
273 M 166 82 26
274 M 171 87 46
275 F 164 45 29
276 M 165 73 32
277 M 160 87 37
278 M 182 84 44
279 F 166 46 38
280 M 188 66 28
281 F 172 49 21
282 M 177 88 25
283 F 158 48 35
284 F 167 47 20
285 F 170 49 39
286 M 182 60 27
287 M 170 75 41
288 M 179 75 40
289 M 181 78 27
290 F 166 45 22
291 F 173 45 24
292 M 177 83 40
293 M 181 73 39
294 F 172 47 26
295 F 164 46 35
296 F 158 46 26
297 F 168 49 39
298 M 179 85 25
299 M 182 82 31
300 F 165 45 38
301 M 165 72 45
302 M 176 85 47
303 M 166 60 45
304 M 168 69 45
305 F 163 46 31
306 F 173 46 39
307 M 187 74 43
308 F 164 48 31
309 M 168 73 29
310 M 168 61 49
311 M 189 85 47
312 M 167 79 41
313 M 184 76 49
314 M 178 63 31
315 M 176 66 28
316 M 177 77 40
317 M 166 67 47
318 F 161 48 38
319 F 165 48 23
320 M 174 71 42
321 F 166 47 34
322 M 187 84 42
323 M 174 85 34
324 M 189 70 46
325 M 171 64 25
326 M 176 67 37
327 M 169 69 27
328 F 155 49 30
329 M 173 70 37
330 F 171 48 39
331 M 174 88 45
332 M 178 72 47
333 F 156 48 24
334 F 157 47 35
335 M 173 78 47
336 F 161 45 33
337 M 161 85 33
338 M 169 79 28
339 M 177 85 44
340 F 169 47 30
341 M 186 79 45
342 M 185 81 29
343 M 161 74 35
344 M 166 88 42
345 M 168 78 29
346 M 168 85 43
347 M 164 89 37
348 M 171 63 34
349 M 160 70 28
350 M 187 73 30
351 M 170 77 45
352 M 188 80 48
353 M 164 81 41
354 M 179 89 40
355 F 162 46 25
356 M 161 68 48
357 M 173 65 44
358 F 169 45 34
359 M 165 83 39
360 M 165 75 37
361 F 164 48 26
362 M 174 89 47
363 M 179 72 30
364 M 168 79 43
365 M 171 71 37
366 M 165 78 28
367 F 171 49 34
368 M 170 64 40
369 M 165 77 38
370 M 175 78 47
371 M 168 85 45
372 M 185 67 33
373 M 180 78 38
374 F 164 45 27
375 M 180 68 37
376 M 164 76 47
377 M 189 64 42
378 M 161 77 28
379 M 180 64 42
380 F 155 45 37
381 M 175 61 30
382 M 161 77 38
383 M 175 81 27
384 F 161 47 22
385 M 166 77 46
386 M 166 87 49
387 F 161 47 39
388 M 180 66 32
389 M 176 70 43
390 M 168 62 30
391 M 179 74 42
392 F 157 47 30
393 M 184 61 31
394 M 169 78 39
395 F 171 49 27
396 F 170 49 22
397 M 181 73 28
398 F 158 46 25
399 F 172 47 39
400 M 171 62 45
401 M 168 70 33
402 M 173 70 35
403 M 175 78 28
404 M 183 77 44
405 F 160 49 26
406 M 170 78 32
407 M 185 70 37
408 F 166 46 38
409 M 164 80 49
410 M 188 62 43
411 M 177 88 40
412 M 169 73 40
413 F 173 48 36
414 M 184 79 28
415 F 155 48 28
416 M 182 67 48
417 M 162 82 35
418 F 172 46 22
419 M 163 78 47
420 M 177 69 38
421 M 161 86 32
422 M 172 68 45
423 M 160 68 49
424 F 160 48 27
425 F 163 46 29
426 F 173 49 37
427 M 169 85 30
428 M 171 64 30
429 M 182 82 32
430 F 171 48 35
431 F 162 48 35
432 M 166 62 27
433 M 173 68 36
434 F 173 47 21
435 M 188 85 44
436 F 172 48 34
437 F 163 45 37
438 M 166 77 43
439 M 181 72 36
440 F 159 49 21
441 M 169 84 28
442 M 160 69 38
443 M 177 70 32
444 F 159 45 30
445 M 162 64 49
446 M 169 82 49
447 M 172 84 35
448 M 185 79 47
449 M 162 89 31
450 M 164 68 46
451 F 156 48 37
452 M 160 77 28
453 F 157 47 34
454 M 174 79 32
455 M 185 78 26
456 F 159 49 21
457 M 183 64 41
458 F 159 46 22
459 M 178 77 35
460 M 177 89 29
461 M 171 66 27
462 M 173 61 45
463 M 168 72 47
464 M 174 84 29
465 M 160 80 31
466 M 175 88 35
467 M 168 85 34
468 M 171 62 39
469 M 174 81 46
470 F 174 47 24
471 M 181 67 29
472 M 182 89 37
473 M 184 69 48
474 M 183 61 33
475 M 173 76 37
476 M 171 87 29
477 M 168 84 36
478 F 165 49 25
479 M 182 85 46
480 M 164 87 43
481 M 176 88 28
482 M 164 75 29
483 M 164 66 28
484 M 182 66 33
485 F 168 47 37
486 M 161 89 25
487 F 172 48 39
488 M 163 83 40
489 F 165 49 21
490 M 160 86 38
491 F 168 47 20
492 M 168 85 38
493 M 189 86 43
494 M 172 68 35
495 M 163 74 26
496 M 174 87 49
497 F 166 47 30
498 F 167 49 30
499 M 163 89 49
500 M 162 71 38
501 M 169 86 27
502 M 174 64 49
503 M 184 76 33
504 M 188 72 41
505 M 178 87 32
506 M 166 79 49
507 F 163 48 27
508 F 167 45 32
509 F 155 47 22
510 F 168 45 29
511 M 179 75 48
512 M 188 83 36
513 M 181 65 31
514 M 166 83 41
515 M 174 82 35
516 M 177 67 29
517 M 185 67 47
518 M 165 72 49
519 M 164 86 47
520 F 172 49 27
521 M 169 62 49
522 M 181 83 39
523 M 176 81 44
524 M 167 87 32
525 M 184 61 37
526 M 179 83 34
527 M 177 77 35
528 F 165 47 39
529 M 165 82 47
530 M 180 63 33
531 M 177 62 40
532 M 160 74 40
533 M 185 67 44
534 F 160 48 35
535 M 169 64 30
536 F 170 45 28
537 M 184 88 27
538 F 155 45 33
539 M 180 72 49
540 M 163 79 34
541 M 162 72 43
542 M 167 63 45
543 M 176 63 31
544 M 178 74 25
545 M 181 79 46
546 M 162 77 40
547 F 159 46 28
548 M 189 72 33
549 M 163 68 44
550 M 186 86 42
551 F 158 49 24
552 F 173 49 26
553 M 173 61 37
554 F 164 46 22
555 M 176 73 34
556 M 167 80 45
557 F 157 48 35
558 F 168 45 21
559 M 175 74 42
560 M 187 65 40
561 M 163 69 40
562 M 186 87 49
563 M 170 80 37
564 F 162 48 23
565 M 183 77 33
566 F 170 45 25
567 M 180 86 31
568 F 165 45 25
569 M 160 85 28
570 F 170 48 21
571 M 164 74 46
572 M 170 87 35
573 F 159 47 29
574 F 173 45 37
575 M 174 85 31
576 M 189 85 39
577 F 160 47 39
578 M 176 80 43
579 M 172 89 45
580 F 173 47 36
581 F 161 49 38
582 M 179 77 36
583 M 186 74 41
584 F 166 47 31
585 M 165 79 48
586 M 189 60 29
587 M 179 84 31
588 F 167 49 23
589 F 170 46 30
590 M 184 65 46
591 M 162 87 28
592 M 172 89 25
593 M 173 65 32
594 F 155 46 36
595 F 162 49 33
596 F 170 47 23
597 M 172 61 41
598 F 155 45 35
599 M 176 82 35
600 F 169 45 39
601 F 169 48 34
602 M 176 66 36
603 F 159 45 39
604 F 171 45 28
605 F 162 46 29
606 M 178 70 35
607 M 185 72 49
608 F 159 49 37
609 M 168 80 26
610 M 165 68 28
611 M 163 64 31
612 F 173 48 31
613 M 184 75 29
614 F 173 49 36
615 M 164 81 33
616 F 170 48 21
617 M 178 64 39
618 M 183 83 48
619 F 169 49 27
620 M 169 77 47
621 M 183 64 33
622 M 166 86 27
623 F 158 48 22
624 M 166 69 35
625 F 174 48 32
626 M 184 87 35
627 M 176 77 26
628 F 158 47 30
629 M 164 73 49
630 M 186 76 35
631 M 187 77 26
632 F 174 49 20
633 M 183 79 45
634 F 165 47 25
635 F 171 47 22
636 F 162 48 30
637 M 166 81 37
638 F 162 48 39
639 F 161 45 33
640 F 164 49 27
641 F 165 45 27
642 M 173 84 46
643 M 181 82 39
644 F 163 46 39
645 M 161 81 41
646 M 175 73 26
647 M 188 79 38
648 M 177 67 40
649 M 164 82 25
650 M 168 61 26
651 M 166 87 43
652 M 180 60 27
653 M 172 83 29
654 F 165 47 32
655 M 161 67 34
656 M 188 83 40
657 F 163 45 24
658 M 171 61 38
659 M 172 70 47
660 F 160 46 20
661 M 163 80 30
662 F 166 45 34
663 M 176 89 45
664 F 173 49 24
665 M 161 72 43
666 F 173 45 29
667 M 173 83 49
668 M 173 74 28
669 F 173 48 29
670 F 174 48 34
671 M 165 83 33
672 M 175 83 34
673 M 189 65 41
674 M 188 68 30
675 M 188 64 39
676 M 164 63 44
677 M 164 73 45
678 M 183 89 35
679 F 158 47 39
680 M 179 82 25
681 M 175 74 41
682 M 187 63 37
683 M 163 63 48
684 M 181 67 32
685 M 177 63 36
686 F 171 45 29
687 M 181 68 38
688 M 176 81 27
689 M 186 68 37
690 M 163 87 29
691 F 172 45 22
692 M 183 89 28
693 M 160 73 26
694 M 165 86 27
695 M 181 68 49
696 F 173 45 32
697 M 174 60 25
698 M 188 82 33
699 M 179 67 34
700 F 173 46 34
701 M 180 88 37
702 M 165 60 43
703 M 183 76 36
704 M 189 77 48
705 F 158 45 24
706 M 186 69 26
707 M 182 84 43
708 M 186 87 47
709 M 163 80 37
710 M 172 62 26
711 M 178 88 39
712 M 180 81 32
713 F 174 46 29
714 F 173 48 34
715 M 163 68 43
716 F 159 49 36
717 M 178 78 40
718 F 165 46 30
719 M 170 70 40
720 F 160 47 25
721 M 180 71 48
722 F 155 47 23
723 M 176 72 27
724 F 174 46 31
725 F 165 46 32
726 F 163 47 37
727 M 187 82 36
728 M 164 82 27
729 F 162 47 38
730 M 184 85 41
731 M 171 68 39
732 M 178 84 31
733 M 168 69 27
734 M 160 84 28
735 F 163 47 36
736 F 162 45 39
737 F 170 46 26
738 F 171 45 27
739 F 158 46 26
740 M 188 84 40
741 M 165 87 31
742 F 163 49 37
743 M 167 84 45
744 M 182 69 29
745 M 186 86 43
746 M 160 81 45
747 M 178 62 48
748 M 168 89 27
749 F 161 49 20
750 M 177 82 41
751 M 187 75 33
752 M 168 67 43
753 M 183 87 33
754 F 169 45 24
755 M 169 76 37
756 M 167 74 42
757 M 185 78 25
758 M 166 61 45
759 M 162 80 25
760 M 168 73 48
761 M 183 79 40
762 M 180 61 42
763 F 158 48 35
764 F 171 49 38
765 F 157 46 27
766 M 168 63 44
767 F 166 48 30
768 M 186 82 31
769 F 158 49 37
770 M 169 61 35
771 M 178 88 25
772 M 178 78 30
773 M 165 78 32
774 M 172 82 25
775 F 163 47 27
776 M 179 82 27
777 M 187 82 33
778 M 172 89 30
779 F 174 47 20
780 M 171 80 25
781 M 164 70 28
782 M 163 71 30
783 M 183 68 43
784 M 186 76 42
785 M 175 82 36
786 M 163 77 49
787 M 163 61 42
788 M 170 74 35
789 M 184 88 33
790 F 167 45 27
791 M 182 76 28
792 F 158 45 35
793 M 172 71 28
794 F 170 47 27
795 F 170 45 38
796 M 186 87 41
797 M 182 64 27
798 M 177 86 34
799 M 187 85 40
800 M 185 85 44
801 F 172 46 31
802 M 170 77 40
803 M 171 69 33
804 F 168 47 22
805 F 160 48 29
806 F 157 47 32
807 M 182 79 41
808 M 165 67 29
809 M 168 61 49
810 M 169 62 48
811 M 181 87 25
812 F 161 48 36
813 M 162 75 35
814 M 174 73 33
815 M 181 72 47
816 M 184 81 26
817 F 171 47 30
818 M 183 69 41
819 M 164 88 38
820 M 178 78 43
821 M 188 85 35
822 M 175 79 31
823 F 165 47 33
824 F 168 47 22
825 M 172 73 28
826 M 179 77 46
827 M 171 70 27
828 M 188 70 26
829 M 181 86 28
830 M 165 72 47
831 M 169 72 25
832 M 179 78 44
833 M 181 75 28
834 M 173 79 49
835 M 185 85 31
836 M 177 72 31
837 M 184 86 30
838 F 167 45 33
839 M 183 88 36
840 M 181 79 36
841 F 161 46 29
842 M 165 86 34
843 F 172 46 30
844 F 165 45 20
845 M 184 64 41
846 M 168 82 45
847 M 168 78 25
848 M 180 65 25
849 M 182 61 35
850 F 173 48 36
851 M 186 86 47
852 M 179 85 43
853 F 170 46 32
854 M 189 63 26
855 M 182 84 27
856 F 171 45 28
857 M 172 83 49
858 M 162 78 28
859 F 174 48 38
860 M 180 82 45
861 M 160 72 45
862 M 186 83 33
863 M 176 71 41
864 M 181 71 39
865 M 167 77 37
866 M 179 72 35
867 M 184 61 47
868 M 172 74 49
869 F 155 46 33
870 M 168 88 48
871 M 167 70 27
872 M 171 60 27
873 M 163 60 39
874 M 175 70 35
875 M 176 64 29
876 M 184 79 36
877 F 158 45 20
878 M 186 65 35
879 M 186 89 28
880 F 162 46 27
881 F 167 48 31
882 M 178 68 40
883 F 166 48 30
884 M 177 81 25
885 M 168 60 37
886 M 176 83 42
887 M 172 66 45
888 M 180 62 29
889 M 184 74 44
890 F 160 45 34
891 M 189 75 45
892 M 164 68 49
893 M 176 76 29
894 F 162 45 30
895 F 156 46 27
896 M 184 81 28
897 M 165 75 49
898 M 177 81 45
899 M 170 86 39
900 F 157 49 28
901 F 155 45 29
902 M 185 65 25
903 F 158 47 36
904 M 169 82 39
905 F 170 45 36
906 M 188 73 39
907 F 161 46 37
908 M 189 62 30
909 M 168 77 34
910 F 157 46 37
911 M 166 63 44
912 M 186 64 37
913 M 164 79 31
914 F 158 45 30
915 M 170 82 35
916 M 172 70 44
917 M 167 70 49
918 M 171 89 37
919 M 177 85 25
920 M 184 66 39
921 F 168 46 30
922 F 158 45 32
923 M 180 89 40
924 F 174 48 28
925 M 165 72 28
926 M 161 81 30
927 M 169 76 32
928 M 163 77 48
929 M 186 83 32
930 M 182 69 32
931 M 166 83 34
932 F 158 45 22
933 F 168 48 28
934 F 170 46 30
935 F 164 45 35
936 M 188 64 35
937 M 165 84 39
938 F 173 47 25
939 M 187 70 46
940 M 189 83 31
941 M 173 70 26
942 M 186 74 25
943 M 172 69 39
944 M 174 76 39
945 M 170 76 25
946 M 189 88 37
947 M 173 81 48
948 M 164 70 36
949 M 172 70 44
950 M 169 60 31
951 M 166 82 27
952 M 184 79 38
953 M 160 65 40
954 M 185 67 48
955 M 184 74 43
956 M 173 69 46
957 M 165 60 33
958 M 186 66 40
959 M 165 61 29
960 F 169 45 32
961 M 160 68 35
962 M 188 65 49
963 M 184 77 28
964 F 157 48 34
965 M 189 86 49
966 M 188 79 45
967 M 188 63 43
968 M 185 77 31
969 F 165 46 38
970 F 173 48 25
971 M 185 84 37
972 M 189 82 33
973 M 185 78 33
974 M 175 65 38
975 F 171 45 24
976 M 188 77 37
977 M 180 88 44
978 F 173 45 36
979 F 162 45 25
980 M 173 86 27
981 F 156 49 25
982 M 182 89 40
983 F 172 45 34
984 M 161 89 35
985 M 167 76 32
986 M 176 82 40
987 M 174 84 43
988 M 187 62 48
989 F 158 49 23
990 F 155 46 29
991 F 155 45 32
992 M 166 80 45
993 M 183 64 30
994 M 189 68 35
995 M 183 70 39
996 M 183 86 31
997 M 162 80 26
998 M 169 66 40
999 M 171 67 25
1000 M 184 87 27
1001 M 170 69 32
1002 M 183 65 28
1003 F 156 47 24
1004 F 166 45 25
1005 M 185 81 41
1006 F 166 49 33
1007 M 181 71 25
1008 M 173 62 48
1009 M 182 79 35
1010 F 169 47 33
1011 M 164 76 33
1012 M 180 75 28
1013 F 161 49 21
1014 M 171 79 25
1015 M 188 81 47
1016 M 165 88 42
1017 M 174 81 33
1018 F 171 45 38
1019 F 171 46 24
1020 F 169 47 38
1021 M 178 82 33
1022 M 165 78 33
1023 F 174 47 20
1024 M 186 71 28
1025 M 180 63 30
1026 F 160 45 36
1027 M 183 73 25
1028 M 181 80 33
1029 M 185 80 38
1030 M 184 81 49
1031 M 185 70 39
1032 M 181 69 32
1033 M 165 83 35
1034 M 167 75 34
1035 F 159 48 35
1036 M 167 70 41
1037 M 185 69 43
1038 M 182 84 38
1039 M 179 82 30
1040 M 166 86 47
1041 F 155 49 20
1042 M 184 63 37
1043 F 164 49 23
1044 F 174 45 31
1045 M 189 79 29
1046 M 171 81 36
1047 F 165 48 31
1048 F 163 47 36
1049 F 160 46 31
1050 M 187 74 39
1051 F 163 49 30
1052 F 164 49 26
1053 F 164 45 36
1054 F 174 48 20
1055 M 173 64 33
1056 F 156 46 39
1057 M 167 67 46
1058 F 155 48 26
1059 F 174 48 22
1060 M 167 67 30
1061 M 177 88 46
1062 M 185 60 43
1063 M 170 66 49
1064 F 157 45 28
1065 F 173 45 21
1066 M 165 68 45
1067 M 178 61 30
1068 F 157 45 26
1069 M 174 85 38
1070 M 179 71 40
1071 M 188 76 48
1072 M 185 68 39
1073 M 185 85 46
1074 M 167 67 39
1075 M 178 86 39
1076 F 155 45 31
1077 M 163 82 44
1078 M 183 71 45
1079 F 162 48 34
1080 M 187 61 41
1081 M 171 77 29
1082 F 161 47 31
1083 F 168 49 23
1084 F 162 49 34
1085 M 182 89 36
1086 F 170 46 37
1087 M 178 74 26
1088 F 167 49 27
1089 F 155 48 22
1090 M 189 81 25
1091 M 187 69 31
1092 M 182 63 46
1093 F 171 47 36
1094 F 170 48 32
1095 M 188 62 44
1096 M 172 60 29
1097 M 183 66 31
1098 F 157 45 28
1099 F 173 49 22
1100 M 160 73 30
1101 M 170 87 28
1102 M 172 63 47
1103 F 172 45 25
1104 M 161 68 47
1105 F 162 48 38
1106 M 181 67 30
1107 F 166 49 25
1108 M 166 75 27
1109 M 174 74 38
1110 F 164 48 38
1111 M 179 88 44
1112 M 186 72 43
1113 F 159 49 20
1114 M 180 72 41
1115 F 156 47 27
1116 M 182 72 32
1117 F 170 46 27
1118 M 161 76 41
1119 F 172 46 35
1120 F 156 49 39
1121 M 181 79 36
1122 M 179 77 42
1123 F 156 45 35
1124 F 156 45 23
1125 F 156 47 33
1126 F 155 49 30
1127 F 171 48 33
1128 M 186 89 42
1129 M 160 79 37
1130 M 187 75 31
1131 M 184 74 28
1132 M 166 84 32
1133 M 185 69 49
1134 M 161 83 30
1135 M 181 73 46
1136 M 177 78 27
1137 M 176 89 41
1138 M 189 76 25
1139 M 160 76 30
1140 M 172 72 37
1141 M 187 70 47
1142 M 189 87 36
1143 M 175 65 26
1144 F 159 47 20
1145 M 186 70 47
1146 F 161 47 36
1147 F 164 47 30
1148 M 185 74 25
1149 M 177 75 49
1150 M 161 88 28
1151 M 184 88 39
1152 M 181 85 33
1153 F 161 48 20
1154 F 159 49 28
1155 M 177 84 37
1156 M 182 60 32
1157 F 162 45 38
1158 F 159 46 23
1159 M 177 89 28
1160 M 184 84 43
1161 M 160 67 43
1162 M 174 78 36
1163 F 159 48 29
1164 M 189 78 32
1165 M 163 87 44
1166 F 164 47 24
1167 M 187 72 43
1168 M 181 65 40
1169 F 161 46 37
1170 M 175 78 30
1171 F 168 49 37
1172 M 182 83 34
1173 M 187 84 39
1174 F 172 48 38
1175 M 161 60 40
1176 M 169 70 33
1177 M 183 80 40
1178 M 169 61 40
1179 M 188 67 33
1180 F 165 48 26
1181 M 167 69 35
1182 M 162 83 37
1183 M 182 86 46
1184 F 170 48 38
1185 M 173 76 27
1186 M 161 72 37
1187 M 171 73 49
1188 F 157 48 38
1189 M 160 68 47
1190 F 165 48 27
1191 M 174 82 25
1192 F 167 47 39
1193 M 180 81 37
1194 M 165 75 29
1195 F 157 45 23
1196 M 169 61 28
1197 M 164 85 27
1198 M 186 68 35
1199 F 167 45 28
1200 M 184 79 45
1201 F 163 47 35
1202 M 178 65 43
1203 M 178 78 34
1204 M 175 68 34
1205 M 164 64 47
1206 M 160 79 43
1207 F 157 49 31
1208 M 168 71 29
1209 M 175 84 28
1210 M 181 76 39
1211 F 161 45 23
1212 F 166 46 23
1213 F 174 45 21
1214 M 166 60 41
1215 M 165 87 35
1216 F 171 47 32
1217 M 181 72 33
1218 M 170 74 29
1219 M 167 79 25
1220 F 164 48 23
1221 M 164 74 44
1222 M 182 62 42
1223 M 174 82 49
1224 M 179 87 43
1225 F 167 46 33
1226 M 184 76 28
1227 M 182 69 45
1228 M 160 78 39
1229 M 172 83 46
1230 M 166 83 43
1231 M 173 85 32
1232 M 181 83 36
1233 F 166 47 39
1234 F 162 46 23
1235 M 179 73 25
1236 F 172 48 35
1237 F 172 48 20
1238 M 176 68 32
1239 M 174 60 47
1240 F 155 47 20
1241 M 166 86 26
1242 M 161 87 30
1243 M 169 75 46
1244 M 167 69 30
1245 F 162 49 20
1246 F 156 45 25
1247 F 173 47 26
1248 M 171 67 46
1249 M 178 88 40
1250 M 162 72 40
1251 F 172 45 34
1252 M 163 60 41
1253 M 164 72 39
1254 F 159 45 37
1255 M 187 64 46
1256 M 189 73 47
1257 M 174 74 25
1258 M 162 83 49
1259 M 161 80 36
1260 M 177 65 36
1261 M 186 71 27
1262 M 172 67 26
1263 M 179 76 47
1264 F 156 47 37
1265 M 185 72 32
1266 M 175 74 26
1267 M 182 87 30
1268 M 185 66 35
1269 M 187 68 29
1270 M 185 76 30
1271 M 167 83 31
1272 M 177 61 38
1273 M 186 79 38
1274 M 186 80 37
1275 F 170 47 36
1276 M 168 71 27
1277 M 182 82 27
1278 M 188 74 48
1279 M 178 75 28
1280 M 184 72 36
1281 F 155 49 31
1282 M 168 66 37
1283 F 168 46 33
1284 M 179 62 27
1285 F 170 45 21
1286 F 171 46 32
1287 M 175 66 40
1288 M 173 75 41
1289 F 155 48 36
1290 M 167 70 31
1291 F 162 45 32
1292 M 176 83 45
1293 M 180 69 43
1294 M 184 75 32
1295 M 176 85 38
1296 M 179 72 29
1297 M 181 69 37
1298 M 185 85 30
1299 M 179 81 36
1300 F 166 48 31
1301 M 164 80 42
1302 M 184 81 30
1303 F 155 46 39
1304 M 176 70 28
1305 M 168 89 43
1306 F 163 47 23
1307 M 173 60 25
1308 M 181 74 32
1309 M 161 83 35
1310 F 162 45 38
1311 F 171 46 37
1312 M 174 67 36
1313 M 181 62 35
1314 M 171 72 35
1315 M 161 88 36
1316 M 163 72 27
1317 F 166 48 34
1318 M 185 84 33
1319 M 181 67 27
1320 M 170 80 27
1321 F 158 49 29
1322 M 185 86 49
1323 M 175 68 39
1324 M 173 74 38
1325 M 183 75 38
1326 F 169 45 37
1327 M 178 84 31
1328 M 176 72 43
1329 M 167 66 46
1330 M 175 86 41
1331 F 162 48 31
1332 M 170 76 42
1333 M 166 68 49
1334 F 164 49 33
1335 F 156 46 32
1336 F 155 46 25
1337 F 170 48 33
1338 F 161 46 33
1339 F 159 48 31
1340 M 175 62 45
1341 M 183 82 38
1342 M 168 66 41
1343 M 172 71 34
1344 M 186 79 29
1345 F 167 47 33
1346 M 180 89 39
1347 M 170 72 43
1348 M 170 83 40
1349 F 171 48 29
1350 M 175 66 35
1351 F 173 48 27
1352 M 168 78 49
1353 M 162 79 45
1354 M 173 61 46
1355 F 161 45 35
1356 M 172 80 38
1357 M 188 61 31
1358 M 161 66 25
1359 F 169 48 37
1360 F 166 48 39
1361 F 166 49 25
1362 M 183 71 43
